	b cell	cd4-positive, alpha-beta t cell	cd8-positive, alpha-beta t cell	conventional dendritic cell	monocyte	natural killer cell	plasmacytoid dendritic cell	platelet
40	0.18599842	0.40921354	0.39608636	0.00060796307	0.00034741193	0.0066000493	0.0010740706	7.205289e-05
41	0.07596885	0.17669916	0.13614134	0.07126093	0.24517296	0.20903905	0.076904856	0.008812844
42	0.00795951	0.008689269	0.007828432	0.2683201	0.294423	0.057028007	0.21181227	0.1439394
43	0.106872566	0.12377196	0.14499943	0.024793541	0.0057844133	0.23979631	0.21816066	0.13582112
44	0.28304037	0.29785967	0.29984802	0.0020576462	0.0013145067	0.111339964	0.004250959	0.00028891105
45	0.16377488	0.17478567	0.20875913	0.04727523	0.041111678	0.11433911	0.016166387	0.23378791
46	0.2439694	0.2847076	0.26174328	0.15762608	0.0010771725	0.0006130848	0.050179992	8.338785e-05
47	0.08229303	0.17015886	0.21452393	0.0050631897	0.030943383	0.35290542	0.0026492514	0.14146289
48	0.0056963325	0.021901475	0.022061976	0.19997244	0.27899182	0.098842174	0.1868016	0.18573222
49	0.27114746	0.10333923	0.12846918	0.16762868	0.079397365	0.06399057	0.11975571	0.066271834
50	0.106925026	0.20065075	0.21791731	0.0130859865	0.034199826	0.20922664	0.0069842283	0.21101022
51	0.20920227	0.27678245	0.25504747	0.057240505	0.0012675097	0.17074156	0.029546091	0.000172144
52	0.17590076	0.41714847	0.40363073	0.00052055856	0.00026267808	0.00090343214	0.001576382	5.687285e-05
53	0.08610663	0.1362343	0.09555002	0.28683582	0.12913696	0.10059604	0.14380006	0.021740144
54	0.12332553	0.25521204	0.2623818	0.0020656248	0.0020031566	0.33304432	0.006213668	0.015753878
55	0.0309182	0.04346842	0.020145152	0.27341518	0.294318	0.035902377	0.22474408	0.07708862
56	0.004110611	0.0029223235	0.0020003798	0.269649	0.3120188	0.06427922	0.19376859	0.15125108
57	0.10985601	0.13823	0.1805617	0.009413951	0.03862515	0.2808784	0.014566277	0.22786856
