"","monocyte","cd4_positive_alpha_beta_t_cell","cd8_positive_alpha_beta_t_cell","b_cell","conventional_dendritic_cell","natural_killer_cell","plasmacytoid_dendritic_cell","platelet"
"sample53",0.0135777015683476,0.00251033454597061,0.470343044904557,0.000926528228612081,0.450980826591047,0.0488428548744973,0.000262038447391733,0.0125566708395769
"sample54",0.029211367630466,0.0629484054388572,0.681917840117567,0.00220994953017509,0.00708883527312047,0.194429949024909,0.00202260261546642,0.020171050369439
"sample55",0.335809558060702,0,0.291934239104925,0.00233457593995576,0.261295112633847,0.0439166133514304,0.048932686840188,0.0157772140689519
"sample56",0.576717546691951,0,0.185598210938725,0.0170951975558037,0.109844802811603,0.0938290220538221,0,0.0169152199480945
"sample57",0.127636486142409,0.0453204388109398,0.504756719609231,0.00380448969421708,0.00314118227494717,0.225875747736156,0.0210705104854192,0.068394425246681
"sample58",0,0.705482128137455,0.118406279846446,0.153123831110143,0,0.0227875795697698,0,0.00020018133618555
"sample59",0.168123224023756,0.000285068260102637,0.31294730455129,0.0289888749008607,0.0524160664017118,0.108273951259662,0.241493389056103,0.0874721215465139
"sample60",0.0371582804925444,0.588143921313353,0.171185409783824,0,0.0558082408014667,0.139330493169323,0.000178470937360501,0.00819518350212845
"sample61",0.33977289210508,0.0414828338713825,0.214888992920794,0.0219753992448847,0.207171388248787,0.0525148275113649,0.00815085187403472,0.114042814223672
"sample62",0.254931609942452,0,0.58648345720925,0.112728712212956,0.00062427259426249,0.0191105265663485,0,0.0261214214747307
"sample63",0.53746344221474,0.00152314525658165,0.237642332317612,0.0105004276070305,0.00603756320554268,0.050292259775381,0.0268543291972739,0.129686500425838
"sample64",0.00519181007507253,0,0.240334777151035,0.240972477096385,0.0543736114638482,0.0526290865798245,0.389533050400074,0.0169651872337613
"sample65",0.0319807107510608,0.182096271411016,0.365529476990753,0.240487240927889,0,0.17683993986283,0,0.0030663600564512
"sample66",0.234223972704101,0.0228221118633622,0.342572202895251,0.0180430365697907,0.0480126902992161,0.0732011844995493,0.21927223631317,0.0418525648555601
