Mixture,monocyte,cd4_positive_alpha_beta_t_cell,cd8_positive_alpha_beta_t_cell,b_cell,conventional_dendritic_cell,natural_killer_cell,plasmacytoid_dendritic_cell,platelet,P-value,Correlation,RMSE
sample436,0.0281019474176649,0.644735314968005,0.0451347815310492,0.135819982363425,0,0.0635209307110248,0.0279290132076817,0.05475802980115,0,0.884816635544981,0.75721317643319
sample437,0.027913082835476,0.757825037938537,0,0.00175686585226713,0,0.0331952892724358,0.152814772302685,0.0264949517985993,0,0.910823780171035,0.761148176992877
sample438,0.0396560405868855,0.0963566241470897,0,0.69308323751574,0.151767912374448,0,0.0189675822892086,0.000168603086627575,0,0.838777053735946,0.612423738750654
sample439,0.0477099942930633,0.193297786513464,0.0457811121028863,0,0.162096301470694,0.00189665169513072,0.503853786400494,0.0453643675242672,0,0.848439345463228,0.652304050526297
sample440,0.0243863123756212,0.641733528341431,0.17040943026812,0.00318557671113637,0,0.117574865385856,0.0042231801547719,0.0384871067630641,0,0.911898197180213,0.753549861534908
sample441,0.258220291864861,0.502663272607411,0,0.144824236229196,0.0153834475728058,0.0019188015902259,0.0131890394752994,0.0638009106602008,0,0.79102295099608,0.705300246597839
sample442,0.0710000709024452,0.72577227310609,0.0141242534792906,0.00303051441460326,0.0285054553706227,0.0816288011878371,0.00292553342037195,0.0730130981187387,0,0.877291169021124,0.744223210363985
sample443,0.0624556775987946,0.61717913023342,0.169523306315077,0.00107444784233516,0.00337670785284405,0.137710215450453,0.00216430884915241,0.00651620585792361,0,0.873701207093203,0.762558185946345
sample444,0.203856789041697,0.64540417149005,0,0.0179617666941605,0.00202702483126249,0.118105258168326,0.00515870531779032,0.00748628445671311,0,0.788856915503383,0.743700866625103
sample445,0.00797587595511841,0.478960542564652,0.0777263392596711,0.40325653717005,0,0.0260856937087446,0.00593768822355003,5.73231182143784e-05,0,0.799459763286075,0.751395512171792
sample446,0.0356691932743743,0.663861705537166,0,0.0127636365429584,0.0434527888498219,0.00392430197732846,0.226969861994794,0.0133585118235566,0,0.875451566837339,0.75484325060855
sample447,0.294730337220643,0.287563321309829,0.325804415689444,0.0109176234161117,0,0.0741752065124559,0.00645805466507251,0.000351041186443764,0,0.739358377658358,0.735120985061042
sample448,0.157243887098439,0.54831947001976,0,0.0035656023789165,0,0.127510203855338,0.162134999876568,0.00122583677097845,0,0.792129249547799,0.75803715928554
sample449,0.0733701432244782,0.461542552129881,0.161441188784772,0,0.101931457672187,0.00432379347843188,0.11221073301426,0.0851801316959891,0,0.837786071337887,0.738926718602733
sample450,0.288715915204989,0.114667336787547,0,0.103375584677787,0.288828821313123,0.00542708819059932,0.198682156232659,0.000303097593296543,0,0.832942630374911,0.573346531232001
sample451,0.00826639721915351,0.424470088856502,0,0.135935748616793,0.360147183624975,0.0391583674109181,0.0315978339793289,0.000424380292328855,0,0.798281310449687,0.695192303643471
sample452,0.0946552150695726,0.324470783042972,0.374800407391509,0.191878424002166,0,0,0.00646192745019098,0.00773324304359041,0,0.839023111638685,0.766929037684182
sample453,0.0217171697741657,0.525230961755696,0.35173928834889,0.0215571657617192,0.0355060866939967,0.00171958292673706,0.0423999882785939,0.000129756460201043,0,0.892821939724604,0.77142853217367
sample454,0.0386596008846091,0.209454056020688,0.0751791880523057,0,0.25205777947304,0.068146198577416,0.356322884061255,0.000180292930685245,0,0.81941971622012,0.675685811880628
sample455,0.0199919423758878,0.415534997603718,0.134365007414599,0.0193128979747089,0,0.137052376209564,0.273364776123405,0.000378002298117427,0,0.855251522876613,0.758104319824054
sample456,0.0103297495967043,0.490977996781865,0.42361152642109,0.0405550292144091,0.0114440255493817,0.00606183633874942,0.00931418713541667,0.00770564896238332,0,0.915634772497264,0.765527237066812
sample457,0.19919252803078,0.281594135600778,0.0406310655628789,0,0.224342807302933,0.173848250214331,0.0796775282469388,0.000713685041360332,0,0.752048585374345,0.702138392737256
sample458,0.169686379943618,0.68268331986203,0,0.00408415946769238,0,0.109092751490216,0.0340378236151533,0.000415565621289985,0,0.801770172634531,0.75472823064051
sample459,0.0561916763758258,0.543589063000284,0.268803434616087,0.097007180036901,0,0.0291428491331067,0.0052592243273529,6.5725104429698e-06,0,0.883135916886752,0.768446409207224
sample460,0.240804145695579,0.35974002311496,0.199590047225675,0.00165054349530955,0,0.192183555017712,0.0055557502269402,0.000475935223823614,0,0.746211792034596,0.744282084759458
sample461,0.208167652823106,0.405400598569831,0,0.15937511656658,0.0452570564332701,0.0442382284406753,0.132516562158108,0.0050447850084292,0,0.785142825235379,0.719276046533205
sample462,0.0063843715145407,0.477492866279684,0.421166286363298,0.0403256460087312,0,0.013253248630009,0.041377581203737,0,0,0.90929236862397,0.768638112261078
sample463,0.0301667673992862,0.331351534707702,0.190298006478994,0.0580430421800922,0.0083580172914016,0.331564591999108,0.00518990726055401,0.045028132682863,0,0.864243058820756,0.714996442059471
sample464,0.315130504039721,0.332554522874746,0,0,0.213258780138663,0.0067679075744742,0.127703088341937,0.00458519703045852,0,0.777143088841791,0.6494209327879
sample465,0.156831979355011,0.393065123337334,0,0.362281449973418,0.0375878893284057,0.0349268552213604,0.0115763160912795,0.00373038669319101,0,0.788437877110466,0.72323962371271
sample466,0.0116241545079911,0.620824099610955,0.131018495715908,0.00679852493538926,0.0203113488754696,0.205379665429808,0.00352987666325918,0.00051383426122083,0,0.874168778587573,0.753415961096395
sample467,0.064154487849994,0.141816062188776,0,0.0101401853735,0.661684052328251,0.00243634181508341,0.0581190897841032,0.0616497806602925,0,0.883106271348992,0.493919664697583
sample468,0.0149206034273901,0.695441715988654,0.0658459715897066,0.00252450815429372,0.025952435470326,0.189243560171967,0.00557865905177384,0.000492546145888962,0,0.872856066149844,0.756391499912799
sample469,0.165622517473531,0.292137904629394,0,0,0.135584439491663,0.0130521168259502,0.229985451812168,0.163617569767293,0,0.833985710804845,0.635233635734839
sample470,0.00440555064340913,0.706820919477184,0.172525181118691,0.110018448391123,0,0.000369169952671907,0.00418897022615676,0.00167176019076381,0,0.906267300105492,0.759345914529463
sample471,0.0486119174432605,0.150050883599442,0,0.0067225243527515,0.718696632286455,0.0112530262686685,0.0508960537506773,0.0137689622987451,0,0.914964361567304,0.433895943909001
