Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample240,0.0749155640876329,0.230112827296721,0.0337495773370011,0.166398116641313,0,0.304970238569659,0,0,0,0.0795228167620503,0,0.0565374374747769,0.0158798342830297,0.0114428217525037,0,0,0,0.0157123550100763,0.0107584107852358,0,0,0,0,0.69402216665183,0.724774404940965
sample241,0,0.281843950120797,0.133729056367136,0.00597334153493707,0.0121953578676025,0.112245087140584,0.00534411621595653,0,0,0.034360257189709,0,0.00539063106703253,0.226549749134598,0,0,0.147925781686499,0,0.0113934995205791,0.0230491721545694,0,0,0,0,0.638695501182941,0.781895173749735
sample242,0.00114245665869437,0.0939029303635592,0.00398227597305304,0.363311917825122,0.354052577297991,0,0.00773500179780608,0,0.0435703188776673,0,0,0.0306648333222191,0.075050179843894,0.000990217485965819,0,0.00156631086393423,0,0.0094696163680281,0.0130023393605482,0,0.00155902396151759,0,0,0.713930741252541,0.701445411011892
sample243,0.0752122179213284,0.096852453167129,0.0165071221903536,0.399760018760377,0,0.115540296517942,0,0.0217229446630993,0.0483232020077639,0,0,0.120557986055423,0.0674230084751785,0,0,0.0123027456797048,0,6.82359780859218e-05,0.0215207743374136,0,0.00420899424620188,0,0,0.703510966727781,0.715055838722569
sample244,0.0390413493720856,0.069925300802131,0.0106585442065051,0.24159408279543,0,0.21752272714726,0.00836259910558256,0,0.0483346175649809,0,0,0.0368634098069956,0.253628618029698,0.00316873045147681,0,0.0241463815600423,0,0.0277970691341164,0.0189565700236971,0,0,0,0,0.715754398673043,0.727274899147116
sample245,0,0.0659809884334388,0,0.0304856024221217,0.0392315342242067,0,0,0,0,0,0.0135476195578852,0,0.488056417530136,0,0,0.191128438460602,0.0882753057690502,0.0406026731290486,0.0376499719588579,0,0.00504144851465355,0,0,0.560954921595244,0.828083509001536
sample246,0,0.0197509894124048,0.00939891763274342,0.0162048320844139,0.0141646010113996,0,0,0,0.00300403563901293,0,0,0.00880091286869301,0.838443318770244,0,0,0.0383722278810467,0,0.0259272436310083,0.0259329210690333,0,0,0,0,0.760318252779759,0.649054910409981
sample247,0,0.100968276342709,0.0407473713891052,0.174279677701139,0.185596884086656,0,0.0405761936433646,0,0,0,0.00566535516928933,0.0157512309419402,0.199206032922245,0,0,0.193024203598296,0,0.00372794178103455,0.0389995368585683,0,0.00145729556565296,0,0,0.545678401614874,0.845117147928552
sample248,0,0.0506892439834997,0.0609744097252166,0.425898979769251,0,0,0.0968513265655197,0,0.0180858467198963,0,0.133180294064278,0.0605672871738162,0.0341360884060484,0,0,0.0625604342064466,0,0,0.05613723955835,0,0.000918849827676814,0,0,0.69496538820937,0.724043302426799
sample249,0.146610701485158,0.296629422525207,0.10321315091657,0.118070987107406,0,0.186493258989697,0.00577474047313416,0,0,0.0207254022066235,0,0.0594980041876684,0.00600901281668324,0,0,0.0470750917117452,0,0.00505893368479048,0.00484129389531683,0,0,0,0,0.775232899578538,0.645982405965039
