	b cell	cd4-positive, alpha-beta t cell	cd8-positive, alpha-beta t cell	conventional dendritic cell	monocyte	natural killer cell	plasmacytoid dendritic cell	platelet
97	0.12131782	0.09437677	0.2601194	0.16577455	0.0379964	0.016689416	0.14720708	0.15651864
98	0.046972636	0.14350171	0.06615082	0.22733098	0.044466082	0.11756553	0.2511274	0.10288484
99	0.07275437	0.1899813	0.15405753	0.1289187	0.16679546	0.16155785	0.09486435	0.03107048
100	0.12249279	0.18898357	0.026665056	0.0968519	0.04570332	0.26062015	0.17377166	0.08491151
101	0.1559555	0.1571254	0.129123	0.12599623	0.06991687	0.17655268	0.11179522	0.07353512
102	0.0605667	0.10838858	0.18812053	0.30377558	0.06378547	0.0793202	0.030232986	0.16580994
103	0.119285025	0.15828498	0.12608525	0.1295227	0.080301136	0.10082687	0.030340852	0.25535315
104	0.15115291	0.07870768	0.2514758	0.24558282	0.011548641	0.0283466	0.1707602	0.062425364
105	0.04516283	0.2953728	0.10331773	0.12566444	0.13794807	0.070221104	0.10767318	0.114639886
106	0.13275379	0.15212217	0.123823486	0.13634303	0.1449731	0.1359754	0.14117175	0.032837197
107	0.043794643	0.38547152	0.07932475	0.025022682	0.10012948	0.057616778	0.12475379	0.1838864
108	0.2353004	0.06218018	0.101934716	0.22627278	0.14725111	0.029422717	0.15765917	0.039978817
109	0.027921405	0.21880606	0.19125308	0.2046656	0.18950485	0.060057536	0.03610565	0.07168584
110	0.053698264	0.1529612	0.20282772	0.12025125	0.09258719	0.07382031	0.2150049	0.08884926
111	0.1333558	0.15264231	0.038212623	0.31097487	0.13184637	0.055884063	0.080450825	0.09663317
112	0.0492976	0.044208396	0.38879728	0.17142297	0.10843799	0.097500235	0.060482737	0.079852745
113	0.16149156	0.09165107	0.16606522	0.037931666	0.1428154	0.049269248	0.2102814	0.14049442
114	0.15776512	0.3035804	0.06860453	0.023252355	0.08470575	0.060646262	0.08146174	0.21998382
115	0.13073929	0.07017255	0.08584071	0.1234247	0.12631246	0.19413432	0.181015	0.08836104
116	0.20667672	0.072353534	0.09090208	0.29839286	0.06780626	0.08480285	0.056180686	0.1228851
117	0.03877176	0.11726356	0.034958083	0.19559048	0.19199115	0.12420864	0.09060195	0.20661442
118	0.07920702	0.21639284	0.122909255	0.2240893	0.15990461	0.0523958	0.05883041	0.08627076
119	0.026192082	0.039387368	0.23426749	0.14156899	0.30689862	0.043835554	0.08937134	0.11847846
